|urn:cts:greekMusic:papyrusFragments.4.text:|,|xml|,|data/editions/hymn_To_Trinity/text.xml|,|div/l|
|urn:cts:greekMusic:papyrusFragments.4.notation:|,|xml|,|data/editions/hymn_To_Trinity/notation.xml|,|div/l|
|urn:cts:greekMusic:papyrusFragments.4.accent:|,|xml|,|data/editions/hymn_To_Trinity/accent.xml|,|div/l|
|urn:cts:greekMusic:papyrusFragments.4.meter:|,|xml|,|data/editions/hymn_To_Trinity/meter.xml|,|div/l|
|urn:cts:greekMusic:papyrusFragments.5.text:|,|xml|,|data/editions/paean/text.xml|,|div/l|
|urn:cts:greekMusic:papyrusFragments.5.notation:|,|xml|,|data/editions/paean/notation.xml|,|div/l|
|urn:cts:greekMusic:papyrusFragments.5.accent:|,|xml|,|data/editions/paean/accent.xml|,|div/l|
|urn:cts:greekMusic:papyrusFragments.5.meter:|,|xml|,|data/editions/paean/meter.xml|,|div/l|
|urn:cts:greekMusic:papyrusFragments.6.text:|,|xml|,|data/editions/berlin_51/text.xml|,|div/l|
|urn:cts:greekMusic:papyrusFragments.6.notation:|,|xml|,|data/editions/berlin_51/notation.xml|,|div/l|
|urn:cts:greekMusic:papyrusFragments.6.accent:|,|xml|,|data/editions/berlin_51/accent.xml|,|div/l|
|urn:cts:greekMusic:papyrusFragments.6.meter:|,|xml|,|data/editions/berlin_51/meter.xml|,|div/l|
|urn:cts:greekMusic:papyrusFragments.7.text:|,|xml|,|data/editions/berlin_52/text.xml|,|div/l|
|urn:cts:greekMusic:papyrusFragments.7.notation:|,|xml|,|data/editions/berlin_52/notation.xml|,|div/l|
|urn:cts:greekMusic:papyrusFragments.7.accent:|,|xml|,|data/editions/berlin_52/accent.xml|,|div/l|
|urn:cts:greekMusic:papyrusFragments.7.meter:|,|xml|,|data/editions/berlin_52/meter.xml|,|div/l|
|urn:cts:greekMusic:mesomedes.17.text:|,|xml|,|data/editions/hymn_To_Isis/meter.xml|,|div/l|
|urn:cts:greekMusic:mesomedes.17.normalized:|,|xml|,|data/editions/hymn_To_Isis/normalized.xml|,|div/l|
|urn:cts:greekMusic:mesomedes.17.notation:|,|xml|,|data/editions/hymn_To_Isis/notation.xml|,|div/l|
|urn:cts:greekMusic:mesomedes.17.accent:|,|xml|,|data/editions/hymn_To_Isis/accent.xml|,|div/l|
|urn:cts:greekMusic:mesomedes.17.meter:|,|xml|,|data/editions/hymn_To_Isis/meter.xml|,|div/l|
